outlet_id,week_start,staff_hours,headcount
OUT-03,2025-02-10,398.0,12
OUT-03,2025-02-17,407.0,12
OUT-03,2025-02-24,382.8,11
OUT-03,2025-03-03,414.0,12
OUT-03,2025-03-10,374.9,11
OUT-03,2025-03-17,385.1,11
OUT-03,2025-03-24,391.4,12
OUT-03,2025-03-31,389.8,11
OUT-03,2025-04-07,404.3,12
OUT-03,2025-04-14,403.9,12
OUT-03,2025-04-21,399.0,12
OUT-03,2025-04-28,388.1,11
OUT-03,2025-05-05,373.6,11
OUT-03,2025-05-12,376.8,11
OUT-03,2025-05-19,376.5,11
OUT-03,2025-05-26,389.2,11
OUT-03,2025-06-02,407.3,12
OUT-03,2025-06-09,390.1,11
OUT-03,2025-06-16,455.9,13
OUT-03,2025-06-23,378.9,11
OUT-04,2024-01-01,269.2,8
OUT-04,2024-01-08,285.6,8
OUT-04,2024-01-15,291.9,9
OUT-04,2024-01-22,271.4,8
OUT-04,2024-01-29,274.0,8
OUT-04,2024-02-05,272.2,8
OUT-04,2024-02-12,306.4,9
OUT-04,2024-02-19,252.7,7
OUT-04,2024-02-26,253.3,7
OUT-04,2024-03-04,236.8,7
OUT-04,2024-03-11,291.4,9
OUT-04,2024-03-18,260.7,8
OUT-04,2024-03-25,295.7,9
OUT-04,2024-04-01,320.1,9
OUT-04,2024-04-08,270.9,8
OUT-04,2024-04-15,294.3,9
OUT-04,2024-04-22,303.9,9
OUT-04,2024-04-29,311.7,9
OUT-04,2024-05-06,282.1,8
OUT-04,2024-05-13,280.8,8
OUT-04,2024-05-20,289.5,9
OUT-04,2024-05-27,319.1,9
OUT-04,2024-06-03,318.1,9
OUT-04,2024-06-10,296.1,9
OUT-04,2024-06-17,314.1,9
OUT-04,2024-06-24,331.5,10
OUT-04,2024-07-01,299.4,9
OUT-04,2024-07-08,321.8,9
OUT-04,2024-07-15,323.0,9
OUT-04,2024-07-22,298.4,9
OUT-04,2024-07-29,314.5,9
OUT-04,2024-08-05,363.1,11
OUT-04,2024-08-12,329.9,10
OUT-04,2024-08-19,339.8,10
OUT-04,2024-08-26,321.3,9
OUT-04,2024-09-02,339.5,10
OUT-04,2024-09-09,322.8,9
OUT-04,2024-09-16,338.1,10
OUT-04,2024-09-23,324.3,10
OUT-04,2024-09-30,337.3,10
OUT-04,2024-10-07,307.3,9
OUT-04,2024-10-14,366.1,11
OUT-04,2024-10-21,340.7,10
OUT-04,2024-10-28,316.0,9
OUT-04,2024-11-04,319.6,9
OUT-04,2024-11-11,305.7,9
OUT-04,2024-11-18,343.0,10
OUT-04,2024-11-25,339.0,10
OUT-04,2024-12-02,333.3,10
OUT-04,2024-12-09,303.5,9
OUT-04,2024-12-16,321.2,9
OUT-04,2024-12-23,325.2,10
OUT-04,2024-12-30,327.6,10
OUT-04,2025-01-06,362.0,11
OUT-04,2025-01-13,319.6,9
OUT-04,2025-01-20,330.1,10
OUT-04,2025-01-27,345.7,10
OUT-04,2025-02-03,329.6,10
OUT-04,2025-02-10,337.1,10
OUT-04,2025-02-17,315.5,9
OUT-04,2025-02-24,315.3,9
OUT-04,2025-03-03,363.1,11
OUT-04,2025-03-10,391.3,12
OUT-04,2025-03-17,404.4,12
OUT-04,2025-03-24,401.4,12
OUT-04,2025-03-31,380.1,11
OUT-04,2025-04-07,427.4,13
OUT-04,2025-04-14,389.4,11
OUT-04,2025-04-21,354.6,10
OUT-04,2025-04-28,353.8,10
OUT-04,2025-05-05,402.0,12
OUT-04,2025-05-12,383.3,11
OUT-04,2025-05-19,380.4,11
OUT-04,2025-05-26,373.7,11
OUT-04,2025-06-02,394.8,12
OUT-04,2025-06-09,343.9,10
OUT-04,2025-06-16,415.6,12
OUT-04,2025-06-23,384.3,11
OUT-05,2025-03-03,176.5,5
OUT-05,2025-03-10,170.0,5
OUT-05,2025-03-17,163.2,5
OUT-05,2025-03-24,176.0,5
OUT-05,2025-03-31,172.4,5
OUT-05,2025-04-07,193.1,6
OUT-05,2025-04-14,169.3,5
OUT-05,2025-04-21,179.2,5
OUT-05,2025-04-28,186.2,5
OUT-05,2025-05-05,189.8,6
OUT-05,2025-05-12,158.4,5
OUT-05,2025-05-19,166.4,5
OUT-05,2025-05-26,182.9,5
