date,outlet_id,daypart,tickets,items,revenue_sgd
2024-01-18,OUT-01,Evening,24,35,247.64
2024-01-19,OUT-01,Morning,169,232,1214.68
2024-01-19,OUT-01,Midday,80,114,895.2
2024-01-19,OUT-01,Evening,30,43,269.58
2024-01-20,OUT-01,Morning,55,83,360.77
2024-01-20,OUT-01,Midday,27,40,289.86
2024-01-20,OUT-01,Evening,10,13,87.75
2024-01-21,OUT-01,Morning,41,59,269.08
2024-01-21,OUT-01,Midday,20,29,183.77
2024-01-21,OUT-01,Evening,7,10,63.41
2024-01-22,OUT-01,Morning,152,211,968.77
2024-01-22,OUT-01,Midday,67,101,702.09
2024-01-22,OUT-01,Evening,22,33,219.98
2024-01-23,OUT-01,Morning,165,232,1067.48
2024-01-23,OUT-01,Midday,71,102,722.51
2024-01-23,OUT-01,Evening,23,33,221.64
2024-01-24,OUT-01,Morning,196,277,1224.78
2024-01-24,OUT-01,Midday,73,105,777.45
2024-01-24,OUT-01,Evening,29,43,259.08
2024-01-25,OUT-01,Morning,192,278,1307.01
2024-01-25,OUT-01,Midday,72,89,755.89
2024-01-25,OUT-01,Evening,30,44,274.75
2024-01-26,OUT-01,Morning,142,194,911.95
2024-01-26,OUT-01,Midday,65,93,702.99
2024-01-26,OUT-01,Evening,26,36,232.01
2024-01-27,OUT-01,Morning,70,102,456.37
2024-01-27,OUT-01,Midday,29,42,286.37
2024-01-27,OUT-01,Evening,11,15,97.53
2024-01-28,OUT-01,Morning,42,65,288.14
2024-01-28,OUT-01,Midday,18,25,194.98
2024-01-28,OUT-01,Evening,8,12,75.8
2024-01-29,OUT-01,Morning,194,279,1314.54
2024-01-29,OUT-01,Midday,75,111,745.45
2024-01-29,OUT-01,Evening,25,37,248.57
2024-01-30,OUT-01,Morning,152,226,929.53
2024-01-30,OUT-01,Midday,58,90,580.87
2024-01-30,OUT-01,Evening,27,40,237.7
2024-01-31,OUT-01,Morning,158,228,1077.3
2024-01-31,OUT-01,Midday,66,100,684.27
2024-01-31,OUT-01,Evening,23,32,226.55
2024-02-01,OUT-01,Morning,159,224,1074.96
2024-02-01,OUT-01,Midday,74,112,837.08
2024-02-01,OUT-01,Evening,32,46,279.62
2024-02-02,OUT-01,Morning,126,182,986.99
2024-02-02,OUT-01,Midday,62,83,649.4
2024-02-02,OUT-01,Evening,24,33,222.27
2024-02-03,OUT-01,Morning,66,93,394.3
2024-02-03,OUT-01,Midday,28,40,284.73
2024-02-03,OUT-01,Evening,10,15,93.29
2024-02-04,OUT-01,Morning,37,56,249.71
2024-02-04,OUT-01,Midday,17,24,183.73
2024-02-04,OUT-01,Evening,7,10,58.59
2024-02-05,OUT-01,Morning,152,217,1008.77
2024-02-05,OUT-01,Midday,62,88,730.38
2024-02-05,OUT-01,Evening,32,46,286.18
2024-02-06,OUT-01,Morning,177,254,1172.42
2024-02-06,OUT-01,Midday,65,93,721.56
2024-02-06,OUT-01,Evening,29,43,247.43
2024-02-07,OUT-01,Morning,142,207,1003.03
2024-02-07,OUT-01,Midday,59,85,682.95
2024-02-07,OUT-01,Evening,22,32,220.8
2024-02-08,OUT-01,Morning,161,253,1076.49
2024-02-08,OUT-01,Midday,65,98,637.27
2024-02-08,OUT-01,Evening,23,35,227.13
2024-02-09,OUT-01,Morning,121,175,882.38
2024-02-09,OUT-01,Midday,65,89,673.91
2024-02-09,OUT-01,Evening,25,34,232.99
2024-02-10,OUT-01,Morning,45,64,292.01
2024-02-10,OUT-01,Midday,15,20,177.83
2024-02-10,OUT-01,Evening,6,9,54.49
2024-02-11,OUT-01,Morning,36,58,222.15
2024-02-11,OUT-01,Midday,15,22,151.82
2024-02-11,OUT-01,Evening,5,8,51.79
2024-02-12,OUT-01,Morning,147,205,932.96
2024-02-12,OUT-01,Midday,69,102,756.61
2024-02-12,OUT-01,Evening,27,40,253.03
2024-02-13,OUT-01,Morning,158,238,1204.85
2024-02-13,OUT-01,Midday,73,112,731.51
2024-02-13,OUT-01,Evening,32,47,301.13
2024-02-14,OUT-01,Morning,155,227,1054.24
2024-02-14,OUT-01,Midday,75,106,808.59
2024-02-14,OUT-01,Evening,30,45,272.31
2024-02-15,OUT-01,Morning,170,235,1125.08
2024-02-15,OUT-01,Midday,68,97,710.65
2024-02-15,OUT-01,Evening,27,40,254.3
2024-02-16,OUT-01,Morning,205,293,1231.17
2024-02-16,OUT-01,Midday,83,122,873.53
2024-02-16,OUT-01,Evening,33,48,298.23
2024-02-17,OUT-01,Morning,68,99,440.85
2024-02-17,OUT-01,Midday,27,41,302.55
2024-02-17,OUT-01,Evening,12,18,111.03
2024-02-18,OUT-01,Morning,44,63,278.05
2024-02-18,OUT-01,Midday,16,23,164.07
2024-02-18,OUT-01,Evening,7,11,60.01
2024-02-19,OUT-01,Morning,168,244,1174.25
2024-02-19,OUT-01,Midday,62,91,653.22
2024-02-19,OUT-01,Evening,25,37,219.26
2024-02-20,OUT-01,Morning,194,267,1202.29
2024-02-20,OUT-01,Midday,76,111,777.31
2024-02-20,OUT-01,Evening,30,42,279.64
2024-02-21,OUT-01,Morning,179,289,1137.1
2024-02-21,OUT-01,Midday,74,108,775.33
2024-02-21,OUT-01,Evening,25,37,233.35
2024-02-22,OUT-01,Morning,148,213,973.49
2024-02-22,OUT-01,Midday,81,127,823.93
2024-02-22,OUT-01,Evening,30,43,275.89
2024-02-23,OUT-01,Morning,209,294,1258.31
2024-02-23,OUT-01,Midday,85,125,945.63
2024-02-23,OUT-01,Evening,33,44,292.67
2024-02-24,OUT-01,Morning,61,86,377.16
2024-02-24,OUT-01,Midday,24,35,272.49
2024-02-24,OUT-01,Evening,10,14,85.62
2024-02-25,OUT-01,Morning,53,76,320.81
2024-02-25,OUT-01,Midday,18,26,186.71
2024-02-25,OUT-01,Evening,7,11,68.58
2024-02-26,OUT-01,Morning,148,217,989.09
2024-02-26,OUT-01,Midday,69,95,730.0
2024-02-26,OUT-01,Evening,23,31,215.53
2024-02-27,OUT-01,Morning,210,317,1299.77
2024-02-27,OUT-01,Midday,74,107,839.4
2024-02-27,OUT-01,Evening,32,46,279.99
2024-02-28,OUT-01,Morning,171,239,1154.84
2024-02-28,OUT-01,Midday,79,117,813.48
2024-02-28,OUT-01,Evening,29,39,268.17
2024-02-29,OUT-01,Morning,201,299,1320.34
2024-02-29,OUT-01,Midday,90,133,927.65
2024-02-29,OUT-01,Evening,35,48,320.96
2024-03-01,OUT-01,Morning,128,176,897.95
2024-03-01,OUT-01,Midday,56,88,633.86
2024-03-01,OUT-01,Evening,23,34,210.68
2024-03-02,OUT-01,Morning,52,70,348.39
2024-03-02,OUT-01,Midday,22,33,231.79
2024-03-02,OUT-01,Evening,9,13,75.67
2024-03-03,OUT-01,Morning,49,75,310.83
2024-03-03,OUT-01,Midday,24,34,242.87
2024-03-03,OUT-01,Evening,9,12,74.47
2024-03-04,OUT-01,Morning,194,283,1262.95
2024-03-04,OUT-01,Midday,79,115,815.91
2024-03-04,OUT-01,Evening,33,46,303.55
2024-03-05,OUT-01,Morning,137,209,999.56
2024-03-05,OUT-01,Midday,65,89,652.92
2024-03-05,OUT-01,Evening,20,28,177.49
2024-03-06,OUT-01,Morning,201,305,1297.95
2024-03-06,OUT-01,Midday,98,146,973.07
2024-03-06,OUT-01,Evening,32,46,311.4
2024-03-07,OUT-01,Morning,148,206,987.73
2024-03-07,OUT-01,Midday,80,116,790.42
2024-03-07,OUT-01,Evening,25,36,223.77
2024-03-08,OUT-01,Morning,168,236,1093.14
2024-03-08,OUT-01,Midday,82,115,875.21
2024-03-08,OUT-01,Evening,30,43,265.29
2024-03-09,OUT-01,Morning,80,120,504.72
2024-03-09,OUT-01,Midday,33,50,320.97
2024-03-09,OUT-01,Evening,10,15,101.94
2024-03-10,OUT-01,Morning,35,52,242.62
2024-03-10,OUT-01,Midday,20,29,198.7
2024-03-10,OUT-01,Evening,7,10,65.95
2024-03-11,OUT-01,Morning,155,239,1105.69
2024-03-11,OUT-01,Midday,80,115,814.43
2024-03-11,OUT-01,Evening,30,44,269.03
2024-03-12,OUT-01,Morning,192,283,1166.26
2024-03-12,OUT-01,Midday,82,130,928.01
2024-03-12,OUT-01,Evening,29,39,277.87
2024-03-13,OUT-01,Morning,168,254,1084.32
2024-03-13,OUT-01,Midday,66,94,735.74
2024-03-13,OUT-01,Evening,30,42,262.3
2024-03-14,OUT-01,Morning,178,274,1157.47
2024-03-14,OUT-01,Midday,69,97,707.56
2024-03-14,OUT-01,Evening,31,47,288.48
2024-03-15,OUT-01,Morning,204,323,1181.69
2024-03-15,OUT-01,Midday,75,109,801.91
2024-03-15,OUT-01,Evening,27,42,248.86
2024-03-16,OUT-01,Morning,65,93,381.1
2024-03-16,OUT-01,Midday,26,41,276.91
2024-03-16,OUT-01,Evening,10,14,95.4
2024-03-17,OUT-01,Morning,44,62,296.61
2024-03-17,OUT-01,Midday,16,22,169.43
2024-03-17,OUT-01,Evening,7,10,66.6
2024-03-18,OUT-01,Morning,187,288,1139.72
2024-03-18,OUT-01,Midday,83,123,928.82
2024-03-18,OUT-01,Evening,30,41,285.02
2024-03-19,OUT-01,Morning,156,230,1090.31
2024-03-19,OUT-01,Midday,76,114,813.94
2024-03-19,OUT-01,Evening,27,39,240.86
2024-03-20,OUT-01,Morning,196,308,1231.13
2024-03-20,OUT-01,Midday,74,108,746.22
2024-03-20,OUT-01,Evening,28,44,256.91
2024-03-21,OUT-01,Morning,180,258,1095.36
2024-03-21,OUT-01,Midday,76,120,806.91
2024-03-21,OUT-01,Evening,27,38,232.42
2024-03-22,OUT-01,Morning,180,268,1169.11
2024-03-22,OUT-01,Midday,75,112,856.35
2024-03-22,OUT-01,Evening,28,42,261.72
2024-03-23,OUT-01,Morning,66,96,414.22
2024-03-23,OUT-01,Midday,28,40,285.96
2024-03-23,OUT-01,Evening,10,14,100.32
2024-03-24,OUT-01,Morning,34,47,235.79
2024-03-24,OUT-01,Midday,16,25,176.11
2024-03-24,OUT-01,Evening,6,9,52.2
2024-03-25,OUT-01,Morning,157,236,1023.9
2024-03-25,OUT-01,Midday,66,98,728.97
2024-03-25,OUT-01,Evening,23,34,214.6
2024-03-26,OUT-01,Morning,193,273,1255.29
2024-03-26,OUT-01,Midday,85,122,903.62
2024-03-26,OUT-01,Evening,32,46,316.01
2024-03-27,OUT-01,Morning,196,276,1280.91
2024-03-27,OUT-01,Midday,91,128,940.83
2024-03-27,OUT-01,Evening,29,42,262.17
2024-03-28,OUT-01,Morning,172,253,1140.34
2024-03-28,OUT-01,Midday,73,104,740.44
2024-03-28,OUT-01,Evening,26,37,226.52
2024-03-29,OUT-01,Morning,113,163,729.73
2024-03-29,OUT-01,Midday,45,66,487.98
2024-03-29,OUT-01,Evening,16,24,164.28
2024-03-30,OUT-01,Morning,56,79,359.71
2024-03-30,OUT-01,Midday,25,37,259.72
2024-03-30,OUT-01,Evening,8,11,79.68
2024-03-31,OUT-01,Morning,47,72,316.11
2024-03-31,OUT-01,Midday,20,28,213.2
2024-03-31,OUT-01,Evening,7,11,61.57
2024-04-01,OUT-01,Morning,215,341,1440.23
2024-04-01,OUT-01,Midday,76,109,857.71
2024-04-01,OUT-01,Evening,36,50,297.38
2024-04-02,OUT-01,Morning,169,247,1162.34
2024-04-02,OUT-01,Midday,65,94,731.73
2024-04-02,OUT-01,Evening,24,33,217.73
2024-04-03,OUT-01,Morning,171,259,1153.57
2024-04-03,OUT-01,Midday,66,99,700.85
2024-04-03,OUT-01,Evening,27,41,263.71
2024-04-04,OUT-01,Morning,201,312,1342.17
2024-04-04,OUT-01,Midday,89,130,874.83
2024-04-04,OUT-01,Evening,30,45,270.26
2024-04-05,OUT-01,Morning,181,260,1102.53
2024-04-05,OUT-01,Midday,85,127,903.7
2024-04-05,OUT-01,Evening,34,52,317.08
2024-04-06,OUT-01,Morning,62,87,423.53
2024-04-06,OUT-01,Midday,31,46,314.05
2024-04-06,OUT-01,Evening,12,16,101.25
2024-04-07,OUT-01,Morning,47,72,316.03
2024-04-07,OUT-01,Midday,18,26,184.61
2024-04-07,OUT-01,Evening,7,10,70.18
2024-04-08,OUT-01,Morning,168,249,1130.45
2024-04-08,OUT-01,Midday,77,109,823.26
2024-04-08,OUT-01,Evening,28,43,252.57
2024-04-09,OUT-01,Morning,201,290,1228.7
2024-04-09,OUT-01,Midday,76,104,761.35
2024-04-09,OUT-01,Evening,31,48,280.23
2024-04-10,OUT-01,Morning,114,159,782.01
2024-04-10,OUT-01,Midday,46,67,503.71
2024-04-10,OUT-01,Evening,20,28,184.51
2024-04-11,OUT-01,Morning,171,254,1107.05
2024-04-11,OUT-01,Midday,82,121,800.75
2024-04-11,OUT-01,Evening,33,49,294.44
2024-04-12,OUT-01,Morning,168,238,1138.04
2024-04-12,OUT-01,Midday,65,96,745.27
2024-04-12,OUT-01,Evening,24,35,204.03
2024-04-13,OUT-01,Morning,66,97,429.2
2024-04-13,OUT-01,Midday,32,46,326.78
2024-04-13,OUT-01,Evening,10,15,92.23
2024-04-14,OUT-01,Morning,42,64,274.43
2024-04-14,OUT-01,Midday,21,29,216.81
2024-04-14,OUT-01,Evening,8,12,71.65
2024-04-15,OUT-01,Morning,215,325,1363.6
2024-04-15,OUT-01,Midday,74,114,855.79
2024-04-15,OUT-01,Evening,31,45,282.46
2024-04-16,OUT-01,Morning,126,181,854.29
2024-04-16,OUT-01,Midday,60,87,629.69
2024-04-16,OUT-01,Evening,22,35,207.55
2024-04-17,OUT-01,Morning,213,313,1346.1
2024-04-17,OUT-01,Midday,78,106,815.61
2024-04-17,OUT-01,Evening,33,52,297.79
2024-04-18,OUT-01,Morning,174,236,1253.68
2024-04-18,OUT-01,Midday,74,103,849.25
2024-04-18,OUT-01,Evening,28,43,293.07
2024-04-19,OUT-01,Morning,160,248,1007.37
2024-04-19,OUT-01,Midday,69,96,744.76
2024-04-19,OUT-01,Evening,26,38,243.05
2024-04-20,OUT-01,Morning,60,88,392.34
2024-04-20,OUT-01,Midday,27,38,305.62
2024-04-20,OUT-01,Evening,10,15,95.29
2024-04-21,OUT-01,Morning,41,62,261.2
2024-04-21,OUT-01,Midday,18,25,198.08
2024-04-21,OUT-01,Evening,7,11,65.79
2024-04-22,OUT-01,Morning,150,227,1069.67
2024-04-22,OUT-01,Midday,69,104,745.17
2024-04-22,OUT-01,Evening,24,36,227.11
2024-04-23,OUT-01,Morning,153,228,1021.72
2024-04-23,OUT-01,Midday,63,91,709.89
2024-04-23,OUT-01,Evening,23,33,217.52
2024-04-24,OUT-01,Morning,220,314,1451.75
2024-04-24,OUT-01,Midday,83,123,921.64
2024-04-24,OUT-01,Evening,27,43,259.35
2024-04-25,OUT-01,Morning,208,299,1260.43
2024-04-25,OUT-01,Midday,94,148,936.56
2024-04-25,OUT-01,Evening,37,53,320.16
2024-04-26,OUT-01,Morning,163,227,1053.83
2024-04-26,OUT-01,Midday,63,92,733.44
2024-04-26,OUT-01,Evening,27,40,241.09
2024-04-27,OUT-01,Morning,66,105,410.29
2024-04-27,OUT-01,Midday,27,38,288.84
2024-04-27,OUT-01,Evening,11,16,97.44
2024-04-28,OUT-01,Morning,43,62,273.98
2024-04-28,OUT-01,Midday,20,30,220.67
2024-04-28,OUT-01,Evening,8,12,70.6
2024-04-29,OUT-01,Morning,138,199,981.54
2024-04-29,OUT-01,Midday,62,89,635.18
2024-04-29,OUT-01,Evening,23,32,210.62
2024-04-30,OUT-01,Morning,169,243,1045.61
2024-04-30,OUT-01,Midday,71,104,749.41
2024-04-30,OUT-01,Evening,23,31,203.27
2024-05-01,OUT-01,Morning,107,164,782.39
2024-05-01,OUT-01,Midday,58,84,572.89
2024-05-01,OUT-01,Evening,21,33,182.33
2024-05-02,OUT-01,Morning,159,217,1054.46
2024-05-02,OUT-01,Midday,71,103,705.02
2024-05-02,OUT-01,Evening,24,35,227.45
2024-05-03,OUT-01,Morning,158,209,985.18
2024-05-03,OUT-01,Midday,73,113,795.39
2024-05-03,OUT-01,Evening,29,41,259.9
2024-05-04,OUT-01,Morning,60,88,398.86
2024-05-04,OUT-01,Midday,33,46,341.48
2024-05-04,OUT-01,Evening,10,14,93.74
2024-05-05,OUT-01,Morning,43,62,302.69
2024-05-05,OUT-01,Midday,19,28,195.03
2024-05-05,OUT-01,Evening,8,13,72.05
2024-05-06,OUT-01,Morning,174,258,1165.71
2024-05-06,OUT-01,Midday,78,114,792.24
2024-05-06,OUT-01,Evening,28,37,255.3
2024-05-07,OUT-01,Morning,150,219,993.17
2024-05-07,OUT-01,Midday,79,104,841.51
2024-05-07,OUT-01,Evening,27,37,251.31
2024-05-08,OUT-01,Morning,134,194,958.06
2024-05-08,OUT-01,Midday,64,93,736.17
2024-05-08,OUT-01,Evening,21,32,212.45
2024-05-09,OUT-01,Morning,167,244,1114.26
2024-05-09,OUT-01,Midday,82,127,821.11
2024-05-09,OUT-01,Evening,30,44,253.19
2024-05-10,OUT-01,Morning,133,188,910.69
2024-05-10,OUT-01,Midday,55,85,603.84
2024-05-10,OUT-01,Evening,23,32,226.35
2024-05-11,OUT-01,Morning,63,92,432.26
2024-05-11,OUT-01,Midday,28,42,280.35
2024-05-11,OUT-01,Evening,12,17,105.17
2024-05-12,OUT-01,Morning,49,64,330.43
2024-05-12,OUT-01,Midday,20,28,204.98
2024-05-12,OUT-01,Evening,10,15,90.92
2024-05-13,OUT-01,Morning,211,308,1420.0
2024-05-13,OUT-01,Midday,79,121,832.03
2024-05-13,OUT-01,Evening,36,52,325.94
2024-05-14,OUT-01,Morning,259,388,1673.98
2024-05-14,OUT-01,Midday,105,147,1046.04
2024-05-14,OUT-01,Evening,34,49,301.44
2024-05-15,OUT-01,Morning,183,284,1187.62
2024-05-15,OUT-01,Midday,80,119,834.64
2024-05-15,OUT-01,Evening,31,46,269.96
2024-05-16,OUT-01,Morning,190,283,1272.14
2024-05-16,OUT-01,Midday,78,110,837.23
2024-05-16,OUT-01,Evening,30,44,271.93
2024-05-17,OUT-01,Morning,139,211,928.5
2024-05-17,OUT-01,Midday,58,86,640.08
2024-05-17,OUT-01,Evening,25,38,230.25
2024-05-18,OUT-01,Morning,76,113,465.99
2024-05-18,OUT-01,Midday,29,45,305.63
2024-05-18,OUT-01,Evening,10,15,95.59
2024-05-19,OUT-01,Morning,47,64,289.67
2024-05-19,OUT-01,Midday,18,25,188.2
2024-05-19,OUT-01,Evening,7,10,63.94
2024-05-20,OUT-01,Morning,139,210,976.18
2024-05-20,OUT-01,Midday,68,105,717.73
2024-05-20,OUT-01,Evening,23,35,201.3
2024-05-21,OUT-01,Morning,189,280,1156.76
2024-05-21,OUT-01,Midday,88,121,865.43
2024-05-21,OUT-01,Evening,25,36,241.86
2024-05-22,OUT-01,Morning,127,191,809.86
2024-05-22,OUT-01,Midday,50,72,542.85
2024-05-22,OUT-01,Evening,19,28,180.32
2024-05-23,OUT-01,Morning,191,263,1293.92
2024-05-23,OUT-01,Midday,84,127,952.89
2024-05-23,OUT-01,Evening,39,57,328.3
2024-05-24,OUT-01,Morning,166,231,1101.47
2024-05-24,OUT-01,Midday,84,124,805.26
2024-05-24,OUT-01,Evening,30,44,266.49
2024-05-25,OUT-01,Morning,49,71,322.97
2024-05-25,OUT-01,Midday,22,31,225.52
2024-05-25,OUT-01,Evening,9,13,79.07
2024-05-26,OUT-01,Morning,54,77,367.53
2024-05-26,OUT-01,Midday,18,27,222.7
2024-05-26,OUT-01,Evening,9,13,76.87
2024-05-27,OUT-01,Morning,161,239,1096.75
2024-05-27,OUT-01,Midday,79,113,839.66
2024-05-27,OUT-01,Evening,29,42,259.65
2024-05-28,OUT-01,Morning,155,216,1008.84
2024-05-28,OUT-01,Midday,76,110,757.67
2024-05-28,OUT-01,Evening,25,35,231.51
2024-05-29,OUT-01,Morning,176,245,1219.16
2024-05-29,OUT-01,Midday,73,101,802.67
2024-05-29,OUT-01,Evening,31,45,282.39
2024-05-30,OUT-01,Morning,160,246,1051.74
2024-05-30,OUT-01,Midday,63,93,707.01
2024-05-30,OUT-01,Evening,27,41,241.08
2024-05-31,OUT-01,Morning,170,250,1092.4
2024-05-31,OUT-01,Midday,54,74,609.14
2024-05-31,OUT-01,Evening,27,39,264.49
2024-06-01,OUT-01,Morning,60,90,404.7
2024-06-01,OUT-01,Midday,28,41,305.66
2024-06-01,OUT-01,Evening,10,15,93.0
2024-06-02,OUT-01,Morning,45,61,285.5
2024-06-02,OUT-01,Midday,16,22,167.5
2024-06-02,OUT-01,Evening,6,9,54.89
2024-06-03,OUT-01,Morning,159,229,1105.3
2024-06-03,OUT-01,Midday,57,86,646.01
2024-06-03,OUT-01,Evening,28,41,254.19
2024-06-04,OUT-01,Morning,178,261,1160.64
2024-06-04,OUT-01,Midday,86,127,966.47
2024-06-04,OUT-01,Evening,30,43,290.66
2024-06-05,OUT-01,Morning,153,227,1098.12
2024-06-05,OUT-01,Midday,56,86,612.7
2024-06-05,OUT-01,Evening,25,37,223.45
2024-06-06,OUT-01,Morning,194,291,1279.75
2024-06-06,OUT-01,Midday,77,111,817.49
2024-06-06,OUT-01,Evening,29,44,268.65
2024-06-07,OUT-01,Morning,206,292,1272.12
2024-06-07,OUT-01,Midday,70,100,748.14
2024-06-07,OUT-01,Evening,28,37,258.47
2024-06-08,OUT-01,Morning,71,104,483.75
2024-06-08,OUT-01,Midday,33,50,334.87
2024-06-08,OUT-01,Evening,9,13,96.31
2024-06-09,OUT-01,Morning,41,58,259.69
2024-06-09,OUT-01,Midday,18,29,182.1
2024-06-09,OUT-01,Evening,7,10,62.39
2024-06-10,OUT-01,Morning,175,261,1208.15
2024-06-10,OUT-01,Midday,80,107,789.84
2024-06-10,OUT-01,Evening,27,38,238.35
2024-06-11,OUT-01,Morning,168,226,1054.47
2024-06-11,OUT-01,Midday,71,103,714.17
2024-06-11,OUT-01,Evening,26,40,239.88
2024-06-12,OUT-01,Morning,154,229,1035.83
2024-06-12,OUT-01,Midday,71,108,755.09
2024-06-12,OUT-01,Evening,25,35,222.83
2024-06-13,OUT-01,Morning,182,255,1149.83
2024-06-13,OUT-01,Midday,97,132,888.28
2024-06-13,OUT-01,Evening,32,43,310.88
2024-06-14,OUT-01,Morning,143,221,974.5
2024-06-14,OUT-01,Midday,83,122,795.3
2024-06-14,OUT-01,Evening,24,35,235.85
2024-06-15,OUT-01,Morning,64,94,446.18
2024-06-15,OUT-01,Midday,34,46,368.22
2024-06-15,OUT-01,Evening,12,16,105.71
2024-06-16,OUT-01,Morning,55,75,343.36
2024-06-16,OUT-01,Midday,22,31,236.87
2024-06-16,OUT-01,Evening,8,12,73.44
2024-06-17,OUT-01,Morning,160,239,1098.33
2024-06-17,OUT-01,Midday,64,100,686.17
2024-06-17,OUT-01,Evening,28,38,266.85
2024-06-18,OUT-01,Morning,157,220,1046.49
2024-06-18,OUT-01,Midday,69,107,735.67
2024-06-18,OUT-01,Evening,27,39,239.65
2024-06-19,OUT-01,Morning,154,221,1075.56
2024-06-19,OUT-01,Midday,78,108,838.28
2024-06-19,OUT-01,Evening,24,33,208.19
2024-06-20,OUT-01,Morning,184,260,1318.11
2024-06-20,OUT-01,Midday,88,125,922.87
2024-06-20,OUT-01,Evening,31,43,307.98
2024-06-21,OUT-01,Morning,194,296,1268.55
2024-06-21,OUT-01,Midday,81,120,855.24
2024-06-21,OUT-01,Evening,29,42,272.53
2024-06-22,OUT-01,Morning,61,89,418.47
2024-06-22,OUT-01,Midday,28,42,303.53
2024-06-22,OUT-01,Evening,11,16,100.12
2024-06-23,OUT-01,Morning,38,55,273.22
2024-06-23,OUT-01,Midday,18,26,196.91
2024-06-23,OUT-01,Evening,6,8,60.49
2024-06-24,OUT-01,Morning,170,248,1184.73
2024-06-24,OUT-01,Midday,97,130,965.9
2024-06-24,OUT-01,Evening,31,43,291.48
2024-06-25,OUT-01,Morning,202,308,1313.12
2024-06-25,OUT-01,Midday,89,126,932.09
2024-06-25,OUT-01,Evening,26,37,272.96
2024-06-26,OUT-01,Morning,164,240,1016.48
2024-06-26,OUT-01,Midday,68,99,669.74
2024-06-26,OUT-01,Evening,22,31,212.14
2024-06-27,OUT-01,Morning,184,267,1224.28
2024-06-27,OUT-01,Midday,74,110,806.33
2024-06-27,OUT-01,Evening,32,44,272.89
2024-06-28,OUT-01,Morning,169,232,1055.36
2024-06-28,OUT-01,Midday,71,99,732.45
2024-06-28,OUT-01,Evening,24,32,229.52
2024-06-29,OUT-01,Morning,55,86,359.17
2024-06-29,OUT-01,Midday,28,41,304.42
2024-06-29,OUT-01,Evening,10,14,98.42
2024-06-30,OUT-01,Morning,41,65,308.65
2024-06-30,OUT-01,Midday,19,27,224.47
2024-06-30,OUT-01,Evening,9,13,77.85
2024-07-01,OUT-01,Morning,190,254,1265.13
2024-07-01,OUT-01,Midday,93,121,979.47
2024-07-01,OUT-01,Evening,29,41,256.9
2024-07-02,OUT-01,Morning,186,279,1135.33
2024-07-02,OUT-01,Midday,75,110,786.39
2024-07-02,OUT-01,Evening,32,49,272.67
2024-07-03,OUT-01,Morning,164,224,1118.12
