txn_id,txn_datetime,outlet_id,daypart,category,items,amount_sgd,payment_method
T500005,2025-06-16 08:41,OUT-01,Morning,Coffee,1,6.78,Cash
T501533,2025-06-16 08:41,OUT-02,Morning,Coffee,1,7.16,Card
T502742,2025-06-16 08:42,OUT-03,Morning,Coffee,1,3.49,Card
T501547,2025-06-16 08:45,OUT-02,Morning,Pastry,1,5.48,Card
T503754,2025-06-16 08:46,OUT-04,Morning,Coffee,1,7.63,PayNow
T500037,2025-06-16 08:48,OUT-01,Morning,Pastry,1,4.8,PayNow
T500125,2025-06-16 08:48,OUT-01,Morning,Pastry,1,5.56,Card
T502772,2025-06-16 08:48,OUT-03,Morning,Pastry,1,5.08,Wallet
T500080,2025-06-16 08:49,OUT-01,Morning,Coffee,1,6.19,Cash
T500008,2025-06-16 08:49,OUT-01,Morning,Coffee,1,6.97,Cash
T502768,2025-06-16 08:50,OUT-03,Morning,Coffee,1,5.66,PayNow
T501535,2025-06-16 08:50,OUT-02,Morning,Pastry,1,5.09,PayNow
T500087,2025-06-16 08:50,OUT-01,Morning,Pastry,1,5.98,Card
T503745,2025-06-16 08:51,OUT-04,Morning,Coffee,1,6.41,PayNow
T502781,2025-06-16 08:52,OUT-03,Morning,Coffee,1,6.75,Wallet
T502770,2025-06-16 08:52,OUT-03,Morning,Coffee,1,5.43,Cash
T500047,2025-06-16 08:54,OUT-01,Morning,Food,1,9.3,PayNow
T500076,2025-06-16 08:55,OUT-01,Morning,Coffee,1,6.41,Wallet
T501513,2025-06-16 08:55,OUT-02,Morning,Tea,1,5.01,PayNow
T500137,2025-06-16 08:56,OUT-01,Morning,Tea,1,4.59,Wallet
T502813,2025-06-16 08:56,OUT-03,Morning,Coffee,1,6.53,Wallet
T500004,2025-06-16 08:56,OUT-01,Morning,Tea,1,7.06,Card
T500070,2025-06-16 08:56,OUT-01,Morning,Tea,1,5.01,PayNow
T500014,2025-06-16 08:56,OUT-01,Morning,Food,1,12.75,Card
T500123,2025-06-16 08:57,OUT-01,Morning,Coffee,1,6.42,Cash
T502769,2025-06-16 08:57,OUT-03,Morning,Tea,1,7.0,Card
T503763,2025-06-16 08:58,OUT-04,Morning,Coffee,2,10.64,Card
T502749,2025-06-16 08:58,OUT-03,Morning,Tea,1,5.34,Card
T500104,2025-06-16 08:58,OUT-01,Morning,Pastry,1,4.48,PayNow
T500157,2025-06-16 08:58,OUT-01,Morning,Tea,1,5.44,Card
T500124,2025-06-16 08:59,OUT-01,Morning,Coffee,1,8.92,Card
T500131,2025-06-16 08:59,OUT-01,Morning,Coffee,1,5.73,PayNow
T500089,2025-06-16 09:00,OUT-01,Morning,Beans (retail),1,18.06,Cash
T500077,2025-06-16 09:00,OUT-01,Morning,Pastry,1,3.24,Cash
T502752,2025-06-16 09:00,OUT-03,Morning,Coffee,1,5.87,Card
T500031,2025-06-16 09:00,OUT-01,Morning,Coffee,1,6.48,PayNow
T503772,2025-06-16 09:00,OUT-04,Morning,Tea,1,5.66,Wallet
T503764,2025-06-16 09:02,OUT-04,Morning,Coffee,2,9.68,Wallet
T501539,2025-06-16 09:02,OUT-02,Morning,Pastry,1,4.32,PayNow
T500117,2025-06-16 09:03,OUT-01,Morning,Pastry,1,3.89,PayNow
T503726,2025-06-16 09:03,OUT-04,Morning,Coffee,1,8.72,Card
T503729,2025-06-16 09:05,OUT-04,Morning,Pastry,1,5.27,Card
T502828,2025-06-16 09:07,OUT-03,Morning,Beans (retail),1,23.79,Card
T500148,2025-06-16 09:07,OUT-01,Morning,Coffee,1,5.87,PayNow
T503766,2025-06-16 09:08,OUT-04,Morning,Tea,1,4.93,PayNow
T501511,2025-06-16 09:09,OUT-02,Morning,Coffee,1,6.77,Cash
T500061,2025-06-16 09:10,OUT-01,Morning,Coffee,1,5.89,PayNow
T502790,2025-06-16 09:10,OUT-03,Morning,Tea,1,6.1,PayNow
T500153,2025-06-16 09:11,OUT-01,Morning,Coffee,1,6.82,Card
T500114,2025-06-16 09:11,OUT-01,Morning,Pastry,1,5.09,Card
T500022,2025-06-16 09:11,OUT-01,Morning,Pastry,1,6.36,Card
T501523,2025-06-16 09:12,OUT-02,Morning,Coffee,1,7.25,Card
T503722,2025-06-16 09:13,OUT-04,Morning,Tea,1,7.59,Card
T500151,2025-06-16 09:14,OUT-01,Morning,Coffee,1,7.53,Card
T500017,2025-06-16 09:15,OUT-01,Morning,Tea,1,3.93,PayNow
T502800,2025-06-16 09:15,OUT-03,Morning,Pastry,1,6.05,Card
T502773,2025-06-16 09:15,OUT-03,Morning,Food,1,13.55,PayNow
T502799,2025-06-16 09:17,OUT-03,Morning,Coffee,1,6.51,Cash
T500095,2025-06-16 09:18,OUT-01,Morning,Pastry,1,4.33,PayNow
T501507,2025-06-16 09:19,OUT-02,Morning,Pastry,1,5.34,PayNow
T503765,2025-06-16 09:20,OUT-04,Morning,Coffee,1,9.16,PayNow
T502743,2025-06-16 09:20,OUT-03,Morning,Tea,1,5.94,Wallet
T500002,2025-06-16 09:20,OUT-01,Morning,Tea,1,5.26,Card
T502792,2025-06-16 09:22,OUT-03,Morning,Coffee,1,7.01,Wallet
T502815,2025-06-16 09:22,OUT-03,Morning,Coffee,1,6.64,PayNow
T502777,2025-06-16 09:22,OUT-03,Morning,Coffee,1,6.06,Card
T500050,2025-06-16 09:22,OUT-01,Morning,Pastry,1,5.79,Cash
T502750,2025-06-16 09:24,OUT-03,Morning,Food,1,17.35,Cash
T502758,2025-06-16 09:25,OUT-03,Morning,Pastry,1,5.94,Card
T502807,2025-06-16 09:26,OUT-03,Morning,Coffee,1,7.1,PayNow
T502791,2025-06-16 09:26,OUT-03,Morning,Coffee,1,7.75,Cash
T500086,2025-06-16 09:26,OUT-01,Morning,Coffee,1,6.36,Card
T502831,2025-06-16 09:27,OUT-03,Morning,Pastry,1,6.01,Wallet
T500040,2025-06-16 09:27,OUT-01,Morning,Coffee,1,5.62,PayNow
T500098,2025-06-16 09:27,OUT-01,Morning,Pastry,1,4.69,Card
T501522,2025-06-16 09:27,OUT-02,Morning,Tea,1,5.23,Card
T500009,2025-06-16 09:27,OUT-01,Morning,Coffee,1,6.7,Card
T502753,2025-06-16 09:28,OUT-03,Morning,Coffee,1,5.96,PayNow
T503724,2025-06-16 09:29,OUT-04,Morning,Coffee,1,7.24,Wallet
T501509,2025-06-16 09:30,OUT-02,Morning,Pastry,1,4.39,Card
T500126,2025-06-16 09:30,OUT-01,Morning,Coffee,1,5.29,Card
T500023,2025-06-16 09:30,OUT-01,Morning,Coffee,1,6.64,Cash
T500071,2025-06-16 09:30,OUT-01,Morning,Coffee,1,6.99,PayNow
T500021,2025-06-16 09:31,OUT-01,Morning,Pastry,1,6.68,Card
T501514,2025-06-16 09:31,OUT-02,Morning,Tea,1,4.75,PayNow
T500138,2025-06-16 09:33,OUT-01,Morning,Tea,1,4.19,PayNow
T503759,2025-06-16 09:35,OUT-04,Morning,Coffee,1,8.0,Card
T503735,2025-06-16 09:35,OUT-04,Morning,Coffee,1,6.83,PayNow
T503740,2025-06-16 09:36,OUT-04,Morning,Coffee,1,8.88,Card
T501538,2025-06-16 09:38,OUT-02,Morning,Tea,1,5.65,Wallet
T500058,2025-06-16 09:38,OUT-01,Morning,Pastry,1,4.88,Card
T500116,2025-06-16 09:39,OUT-01,Morning,Pastry,1,5.85,PayNow
T502819,2025-06-16 09:40,OUT-03,Morning,Food,1,14.45,Cash
T502759,2025-06-16 09:42,OUT-03,Morning,Coffee,1,5.99,Card
T503728,2025-06-16 09:42,OUT-04,Morning,Coffee,2,10.61,Wallet
T500101,2025-06-16 09:42,OUT-01,Morning,Coffee,1,4.77,PayNow
T500064,2025-06-16 09:42,OUT-01,Morning,Coffee,1,6.76,PayNow
T500146,2025-06-16 09:42,OUT-01,Morning,Coffee,1,6.54,Card
T502805,2025-06-16 09:42,OUT-03,Morning,Pastry,1,3.41,PayNow
T502746,2025-06-16 09:42,OUT-03,Morning,Pastry,1,5.85,Card
T500109,2025-06-16 09:43,OUT-01,Morning,Pastry,1,3.95,Card
T502821,2025-06-16 09:43,OUT-03,Morning,Pastry,1,5.7,PayNow
T502786,2025-06-16 09:43,OUT-03,Morning,Coffee,1,7.03,PayNow
T502801,2025-06-16 09:49,OUT-03,Morning,Pastry,1,5.49,Card
T503737,2025-06-16 09:49,OUT-04,Morning,Tea,1,6.51,Card
T501537,2025-06-16 09:50,OUT-02,Morning,Food,1,13.17,PayNow
T500120,2025-06-16 09:50,OUT-01,Morning,Tea,1,5.73,Wallet
T500010,2025-06-16 09:51,OUT-01,Morning,Coffee,1,6.2,Card
T500094,2025-06-16 09:51,OUT-01,Morning,Pastry,1,5.67,PayNow
T502814,2025-06-16 09:52,OUT-03,Morning,Pastry,1,5.8,PayNow
T503734,2025-06-16 09:53,OUT-04,Morning,Coffee,2,10.0,Card
T500048,2025-06-16 09:53,OUT-01,Morning,Coffee,1,7.71,PayNow
T500028,2025-06-16 09:54,OUT-01,Morning,Food,1,16.88,PayNow
T501501,2025-06-16 09:57,OUT-02,Morning,Pastry,1,6.76,PayNow
T502763,2025-06-16 09:57,OUT-03,Morning,Coffee,1,4.55,Card
T503747,2025-06-16 09:57,OUT-04,Morning,Tea,1,7.29,Card
T500052,2025-06-16 09:58,OUT-01,Morning,Coffee,1,7.25,PayNow
T501517,2025-06-16 09:59,OUT-02,Morning,Pastry,1,5.5,Card
T502832,2025-06-16 09:59,OUT-03,Morning,Coffee,1,7.42,Card
T503757,2025-06-16 10:00,OUT-04,Morning,Tea,1,6.96,PayNow
T500097,2025-06-16 10:01,OUT-01,Morning,Coffee,1,6.27,Card
T500033,2025-06-16 10:02,OUT-01,Morning,Coffee,1,5.93,Card
T501503,2025-06-16 10:02,OUT-02,Morning,Beans (retail),1,21.54,PayNow
T503762,2025-06-16 10:02,OUT-04,Morning,Coffee,1,9.14,Cash
T501531,2025-06-16 10:02,OUT-02,Morning,Beans (retail),1,22.71,Card
T503742,2025-06-16 10:02,OUT-04,Morning,Coffee,1,7.06,Cash
T501516,2025-06-16 10:03,OUT-02,Morning,Pastry,1,5.72,Wallet
T503753,2025-06-16 10:03,OUT-04,Morning,Coffee,1,8.44,Card
T500100,2025-06-16 10:04,OUT-01,Morning,Coffee,1,6.08,Card
T502756,2025-06-16 10:05,OUT-03,Morning,Coffee,1,8.27,Wallet
T503750,2025-06-16 10:06,OUT-04,Morning,Pastry,1,6.58,PayNow
T502811,2025-06-16 10:06,OUT-03,Morning,Coffee,1,6.54,PayNow
T503756,2025-06-16 10:06,OUT-04,Morning,Coffee,1,7.31,Cash
T502783,2025-06-16 10:06,OUT-03,Morning,Pastry,1,4.15,PayNow
T502757,2025-06-16 10:07,OUT-03,Morning,Coffee,1,4.67,Cash
T502775,2025-06-16 10:08,OUT-03,Morning,Coffee,1,7.84,Card
T503741,2025-06-16 10:08,OUT-04,Morning,Food,1,17.58,Card
T500027,2025-06-16 10:09,OUT-01,Morning,Pastry,1,5.42,PayNow
T500041,2025-06-16 10:09,OUT-01,Morning,Coffee,1,6.54,PayNow
T500113,2025-06-16 10:09,OUT-01,Morning,Coffee,1,6.27,Card
T501526,2025-06-16 10:10,OUT-02,Morning,Coffee,1,4.85,PayNow
T500003,2025-06-16 10:11,OUT-01,Morning,Pastry,1,5.47,Cash
T502817,2025-06-16 10:13,OUT-03,Morning,Coffee,1,6.83,Card
T502806,2025-06-16 10:14,OUT-03,Morning,Coffee,1,4.16,PayNow
T500093,2025-06-16 10:14,OUT-01,Morning,Coffee,1,7.31,Card
T502760,2025-06-16 10:15,OUT-03,Morning,Coffee,1,7.17,Card
T502825,2025-06-16 10:15,OUT-03,Morning,Beans (retail),1,24.22,Card
T500046,2025-06-16 10:16,OUT-01,Morning,Coffee,1,7.14,Card
T501506,2025-06-16 10:18,OUT-02,Morning,Pastry,1,3.33,Wallet
T501508,2025-06-16 10:18,OUT-02,Morning,Coffee,1,5.2,Cash
T502785,2025-06-16 10:18,OUT-03,Morning,Coffee,1,6.62,PayNow
T503743,2025-06-16 10:20,OUT-04,Morning,Tea,1,7.56,Cash
T500066,2025-06-16 10:20,OUT-01,Morning,Coffee,1,6.31,Card
T500018,2025-06-16 10:22,OUT-01,Morning,Coffee,1,5.98,PayNow
T501521,2025-06-16 10:22,OUT-02,Morning,Coffee,1,7.59,PayNow
T502754,2025-06-16 10:22,OUT-03,Morning,Pastry,1,3.64,Wallet
T500043,2025-06-16 10:22,OUT-01,Morning,Coffee,1,7.69,Wallet
T502748,2025-06-16 10:22,OUT-03,Morning,Tea,1,5.84,PayNow
T501500,2025-06-16 10:22,OUT-02,Morning,Coffee,1,9.04,PayNow
T501492,2025-06-16 10:24,OUT-02,Morning,Coffee,1,6.74,PayNow
T500078,2025-06-16 10:25,OUT-01,Morning,Coffee,1,5.46,Card
T501494,2025-06-16 10:25,OUT-02,Morning,Tea,1,5.05,PayNow
T500136,2025-06-16 10:25,OUT-01,Morning,Coffee,1,6.21,Wallet
T502787,2025-06-16 10:26,OUT-03,Morning,Tea,1,5.95,PayNow
T502803,2025-06-16 10:26,OUT-03,Morning,Tea,1,5.53,Cash
T503771,2025-06-16 10:27,OUT-04,Morning,Pastry,1,6.24,PayNow
T502788,2025-06-16 10:27,OUT-03,Morning,Pastry,1,5.16,Card
T500074,2025-06-16 10:27,OUT-01,Morning,Pastry,1,6.05,Card
T500042,2025-06-16 10:27,OUT-01,Morning,Pastry,1,6.34,PayNow
T501540,2025-06-16 10:28,OUT-02,Morning,Tea,1,4.56,Card
T500016,2025-06-16 10:29,OUT-01,Morning,Coffee,1,4.86,PayNow
T500140,2025-06-16 10:30,OUT-01,Morning,Coffee,1,5.74,Card
T501525,2025-06-16 10:31,OUT-02,Morning,Pastry,1,7.05,Card
T503733,2025-06-16 10:31,OUT-04,Morning,Tea,1,5.62,Cash
T502784,2025-06-16 10:32,OUT-03,Morning,Pastry,1,5.4,Card
T500054,2025-06-16 10:33,OUT-01,Morning,Pastry,1,5.04,Card
T500011,2025-06-16 10:34,OUT-01,Morning,Coffee,1,5.87,Card
T500084,2025-06-16 10:35,OUT-01,Morning,Pastry,1,6.18,PayNow
T500075,2025-06-16 10:36,OUT-01,Morning,Coffee,1,5.68,PayNow
T500108,2025-06-16 10:36,OUT-01,Morning,Coffee,1,5.42,Cash
T502744,2025-06-16 10:37,OUT-03,Morning,Coffee,1,7.71,PayNow
T500090,2025-06-16 10:37,OUT-01,Morning,Pastry,1,4.95,Card
T503719,2025-06-16 10:37,OUT-04,Morning,Coffee,1,6.44,PayNow
T500111,2025-06-16 10:38,OUT-01,Morning,Food,1,12.0,Card
T502764,2025-06-16 10:39,OUT-03,Morning,Pastry,1,3.83,PayNow
T502804,2025-06-16 10:39,OUT-03,Morning,Coffee,1,6.25,Card
T501512,2025-06-16 10:40,OUT-02,Morning,Pastry,1,4.71,Card
T500015,2025-06-16 10:41,OUT-01,Morning,Tea,1,5.2,Wallet
T502824,2025-06-16 10:42,OUT-03,Morning,Coffee,1,6.41,PayNow
T501528,2025-06-16 10:42,OUT-02,Morning,Coffee,1,6.6,Card
T502778,2025-06-16 10:43,OUT-03,Morning,Pastry,1,6.49,PayNow
T503767,2025-06-16 10:43,OUT-04,Morning,Coffee,1,7.36,Card
T500034,2025-06-16 10:44,OUT-01,Morning,Pastry,1,5.99,PayNow
T501505,2025-06-16 10:45,OUT-02,Morning,Pastry,1,4.9,Card
T500057,2025-06-16 10:45,OUT-01,Morning,Tea,1,5.28,Card
T500069,2025-06-16 10:45,OUT-01,Morning,Pastry,1,4.77,Cash
T500001,2025-06-16 10:46,OUT-01,Morning,Tea,1,6.21,Cash
T501515,2025-06-16 10:47,OUT-02,Morning,Tea,1,5.36,Card
